"usid","issue"
"338US464",80300
"338US491",20280
"338US507",90380
"338US521",20110
"338US537",30120
"338US552",10370
"338US561",120010
"338US572",80260
"338US586",100100
"338US604",90120
"338US621",90120
"338US632",90120
"338US655",100030
"338US665",100030
"338US680",30200
"338US692",120020
"339US1",10050
"339US9",40040
"339US33",20110
"339US56",10050
"339US87",100120
"339US96",80070
"339US103",20240
"339US113",80070
"339US121",40070
"339US142",80220
"339US157",90160
"339US162",10190
"339US186",90120
"339US200",90040
"339US239",100020
"339US255",100020
"339US258",10190
"339US261",40070
"339US276",90250
"339US282",20040
"339US306",40020
"339US321",90160
"339US323",10090
"339US349",10090
"339US382",30060
"339US454",100030
"339US460",30150
"339US470",30010
"339US485",80010
"339US497",70040
"339US532",30010
"339US542",80100
"339US563",90120
"339US577",90120
"339US583",120010
"339US594",40020
"339US605",80180
"339US619",120010
"339US629",20050
"339US637",20050
"339US643",40060
"339US660",10120
"339US667",90320
"339US684",90140
"339US725",40070
"339US763",10020
"339US799",40070
"339US816",20040
"339US827",80180
"339US841",120030
"339US844",20390
"339US846",30060
"340US1",90140
"340US8",80060
"340US15",90480
"340US36",90460
"340US42",10490
"340US47",120030
"340US54",80060
"340US76",80010
"340US106",120020
"340US122",40020
"340US128",10020
"340US135",80060
"340US147",80180
"340US159",10090
"340US162",90250
"340US179",80110
"340US190",80110
"340US193",20280
"340US206",10600
"340US211",80010
"340US216",90120
"340US231",80010
"340US268",30160
"340US290",30160
"340US315",30010
"340US332",10330
"340US336",80120
"340US349",80110
"340US361",90120
"340US367",10090
"340US383",100030
"340US411",90320
"340US416",90130
"340US419",90120
"340US450",90120
"340US462",50040
"340US474",90120
"340US498",90120
"340US504",80040
"340US511",80100
"340US520",80100
"340US523",80070
"340US534",80100
"340US543",80060
"340US558",80010
"340US573",80040
"340US581",110030
"340US590",120010
"340US593",80170
"340US602",80100
"340US622",90190
"341US1",80170
"341US6",90140
"341US22",110030
"341US41",20270
"341US48",20150
"341US50",20040
"341US56",30100
"341US58",10170
"341US70",20400
"341US97",20400
"341US105",80110
"341US114",40070
"341US123",90250
"341US214",10160
"341US223",20110
"341US246",90160
"341US267",80070
"341US290",80250
"341US322",30070
"341US329",100100
"341US341",90090
"341US363",90090
"341US367",20400
"341US384",80010
"341US412",90120
"341US428",80110
"341US446",120030
"341US471",120030
"341US479",10090
"341US491",90180
"341US494",30060
"341US593",80010
"341US609",80070
"341US622",80110
"341US651",20400
"341US665",70150
"341US675",70150
"341US694",70150
"341US707",70150
"341US716",30090
"341US737",90480
"342US1",10370
"342US19",90110
"342US25",80060
"342US29",90480
"342US33",90190
"342US35",90390
"342US36",10010
"342US48",10050
"342US55",10010
"342US76",20280
"342US98",90120
"342US104",90190
"342US117",90020
"342US126",110030
"342US134",10120
"342US143",80010
"342US163",90420
"342US165",10010
"342US180",90140
"342US187",80050
"342US197",80050
"342US205",10020
"342US225",10350
"342US232",80100
"342US237",70140
"342US246",10570
"342US277",10460
"342US282",80070
"342US288",80060
"342US299",90090
"342US308",40070
"342US330",40070
"342US337",80240
"342US350",20050
"342US353",80010
"342US359",80040
"342US371",80010
"342US382",80100
"342US389",80100
"342US396",80070
"342US402",110030
"342US415",80100
"342US421",20010
"342US429",90300
"342US437",40060
"342US451",90120
"342US485",30120
"342US519",10020
"342US524",30060
"342US570",90320
"342US580",30060
"343US1",10080
"343US90",120020
"343US99",80110
"343US112",90320
"343US118",120020
"343US130",10490
"343US148",80140
"343US154",20010
"343US156",40070
"343US169",20110
"343US181",10010
"343US205",40070
"343US214",20010
"343US236",80060
"343US250",30030
"343US306",30180
"343US326",80010
"343US341",20240
"343US373",80220
"343US390",90160
"343US393",90190
"343US395",70070
"343US414",80270
"343US427",80050
"343US444",80010
"343US451",50010
"343US470",80010
"343US495",30010
"343US541",90150
"343US549",80220
"343US562",80220
"343US579",130020
"343US711",120020
"343US717",10550
"343US747",10050
"343US768",20060
"343US779",80070
"343US790",40010
"343US808",10280
"344US1",90200
"344US4",90430
"344US6",120010
"344US13",80180
"344US17",90120
"344US25",120030
"344US33",90120
"344US43",10490
"344US48",90110
"344US66",90470
"344US86",90040
"344US94",30160
"344US133",20280
"344US141",90340
"344US143",90180
"344US149",40070
"344US157",80110
"344US167",120010
"344US174",40010
"344US178",90380
"344US183",30110
"344US199",10370
"344US206",90480
"344US218",70040
"344US228",80190
"344US237",90320
"344US254",90120
"344US280",80200
"344US293",40020
"344US298",80240
"344US334",80050
"344US344",70080
"344US357",90180
"344US367",100030
"344US375",30070
"344US386",80060
"344US392",80010
"344US407",80040
"344US414",10160
"344US424",10170
"344US443",10010
"344US561",10030
"344US574",80100
"344US583",80100
"344US590",40020
"344US604",10400
"344US624",100030
"345US1",50040
"345US13",70040
"345US22",10090
"345US41",80140
"345US59",90480
"345US67",30160
"345US71",70140
"345US83",20230
"345US100",70190
"345US117",70190
"345US128",20060
"345US146",40070
"345US153",80130
"345US183",120030
"345US192",70030
"345US206",40020
"345US229",20110
"345US242",90030
"345US247",90330
"345US278",120010
"345US286",60040
"345US295",100030
"345US322",80100
"345US330",20250
"345US344",40070
"345US361",120030
"345US377",90340
"345US379",90140
"345US395",30160
"345US427",80070
"345US446",80060
"345US461",20010
"345US495",100060
"345US502",90460
"345US507",90460
"345US514",80070
"345US528",40060
"345US544",120010
"345US559",20040
"345US565",10570
"345US571",80050
"345US594",80010
"345US629",80010
"345US639",120030
"345US648",100030
"345US653",100030
"345US663",90140
"346US1",30130
"346US15",80060
"346US61",80010
"346US86",90120
"346US100",20040
"346US119",80120
"346US128",100030
"346US137",10020
"346US156",10010
"346US209",10450
"346US235",10420
"346US249",20040
"346US271",10020
"346US273",10130
"346US322",10130
"346US324",10130
"346US325",10370
"346US327",90120
"346US328",80040
"346US335",120020
"346US338",90140
"346US346",40070
"346US356",80010
"346US366",80050
"346US368",90370
"346US374",10370
"346US379",90140
"346US389",30130
"346US402",90090
"346US406",80050
"346US427",80120
"346US441",10460
"346US464",70090
"346US485",100020
"346US502",10020
"346US521",80120
"346US537",80010
"346US545",10050
"346US556",90520
"346US568",80060
"346US574",100130
"346US587",30190
"347US1",10450
"347US17",70060
"347US62",10050
"347US67",80260
"347US74",80260
"347US81",120030
"347US89",80010
"347US110",80100
"347US128",10050
"347US157",80100
"347US171",70040
"347US179",10110
"347US186",70020
"347US201",80190
"347US222",20310
"347US227",10210
"347US231",80100
"347US239",80270
"347US260",20110
"347US272",100040
"347US284",80320
"347US298",80030
"347US334",80040
"347US340",80100
"347US359",80100
"347US373",100120
"347US381",10490
"347US388",80040
"347US396",80070
"347US403",120030
"347US409",80070
"347US439",30120
"347US442",30120
"347US475",20040
"347US483",20050
"347US497",20050
"347US501",100020
"347US507",80060
"347US514",80010
"347US521",80010
"347US522",20110
"347US535",90120
"347US556",10010
"347US590",80100
"347US610",90130
"347US612",30010
"347US637",20110
"347US645",80220
"347US656",100020
"347US672",80300
"348US1",60040
"348US3",10120
"348US11",10080
"348US19",80040
"348US26",40070
"348US37",10080
"348US48",90520
"348US61",100030
"348US66",80050
"348US84",10330
"348US96",70070
"348US105",10120
"348US110",20240
"348US115",80010
"348US121",10490
"348US142",10490
"348US147",10490
"348US160",120010
"348US170",10370
"348US176",90380
"348US187",120020
"348US207",80070
"348US211",120030
"348US215",120030
"348US218",120030
"348US222",80010
"348US236",80010
"348US254",120010
"348US272",40070
"348US296",80040
"348US310",80050
"348US336",80070
"348US341",80120
"348US351",90330
"348US356",90520
"348US373",10360
"348US375",30130
"348US385",30130
"348US397",30130
"348US407",30130
"348US419",10090
"348US426",120010
"348US437",90320
"348US468",100020
"348US483",80110
"348US492",80300
"348US503",10420
"348US511",90320
"348US528",20110
"348US540",20110
"349US1",130020
"349US29",90140
"349US44",80300
"349US46",90480
"349US48",20110
"349US58",10090
"349US70",90150
"349US81",10500
"349US85",80070
"349US122",80070
"349US129",80060
"349US133",40050
"349US143",80100
"349US155",10090
"349US190",10090
"349US219",10090
"349US232",120010
"349US237",120010
"349US254",70040
"349US280",20110
"349US294",20050
"349US302",20110
"349US322",80010
"349US331",30120
"349US358",80320
"349US366",90420
"349US375",20040
"349US408",100130
"349US427",70040
"349US435",80130
"349US458",90150
"350US1",20050
"350US3",10020
"350US11",20250
"350US46",120010
"350US61",80060
"350US77",80040
"350US79",90320
"350US85",20040
"350US91",20040
"350US107",90330
"350US114",110020
"350US116",10010
"350US124",80070
"350US148",10170
"350US155",100020
"350US162",90120
"350US179",20280
"350US198",80160
"350US214",10370
"350US222",40070
"350US247",70040
"350US260",70040
"350US264",70170
"350US270",70160
"350US299",70170
"350US308",120010
"350US318",80040
"350US332",80300
"350US348",80270
"350US356",10220
"350US359",10200
"350US366",100120
"350US377",10210
"350US383",120010
"350US399",10080
"350US409",80240
"350US413",20050
"350US415",10470
"350US422",10110
"350US456",120010
"350US462",80030
"350US473",70040
"350US485",90090
"350US492",80100
"350US495",90320
"350US497",30060
"350US521",90330
"350US523",80040
"350US528",80070
"350US532",80050
"350US537",80100
"350US551",30110
"350US568",110030
"351US1",20150
"351US12",20370
"351US40",90120
"351US49",80240
"351US56",80220
"351US62",100020
"351US79",80260
"351US91",20280
"351US105",70090
"351US115",30060
"351US131",10490
"351US141",40020
"351US149",70070
"351US159",80060
"351US173",80060
"351US183",10280
"351US192",80320
"351US215",30130
"351US225",70030
"351US243",120020
"351US253",80100
"351US266",100020
"351US277",90180
"351US292",90180
"351US305",80010
"351US321",80220
"351US345",20110
"351US377",80010
"351US427",90110
"351US445",90110
"351US454",10200
"351US470",20240
"351US487",20240
"351US493",80050
"351US502",80050
"351US513",90380
"351US525",80050
"351US536",30060
"351US570",80190
"352US1",10280
"352US862",10280
"352US862",80070
"352US29",100130
"352US36",90310
"352US40",80060
"352US59",90120
"352US77",90120
"352US82",120020
"352US103",40070
"352US112",40020
"352US128",80060
"352US145",90120
"352US153",90120
"352US158",80220
"352US180",20110
"352US187",100030
"352US191",10010
"352US202",20250
"352US212",80130
"352US220",90090
"352US232",10200
"352US249",90330
"352US270",90480
"352US280",90330
"352US282",70070
"352US306",120010
"352US313",120010
"352US315",80060
"352US985",10210
"352US322",10390
"352US330",10120
"352US354",10170
"352US370",80040
"352US380",30190
"352US385",10080
"352US407",10570
"352US419",80010
"352US432",10050
"352US445",80010
"352US457",80010
"352US480",70030
"352US500",80040
"352US512",80040
"352US518",80040
"352US521",80040
"352US567",30140
"352US599",20110
"352US565",20320
"353US1",100020
"353US20",100020
"353US26",100020
"353US30",70160
"353US43",80040
"353US53",10160
"353US72",20110
"353US81",120010
"353US87",70200
"353US98",90460
"353US112",80130
"353US138",70140
"353US151",80220
"353US180",120010
"353US194",20110
"353US210",80070
"353US222",90140
"353US230",20050
"353US232",60030
"353US252",60030
"353US313",70130
"353US322",90120
"353US325",80070
"353US346",10050
"353US360",80040
"353US364",90030
"353US368",80300
"353US373",10490
"353US382",120010
"353US391",10400
"353US427",20110
"353US436",80230
"353US448",70200
"353US547",70200
"353US550",70200
"353US553",80220
"353US569",20240
"353US583",20240
"353US586",80010
"353US657",10160
"353US685",20110
"353US692",20110
"354US1",20240
"354US91",90500
"354US114",90500
"354US118",10090
"354US129",80050
"354US147",80050
"354US156",40010
"354US178",30050
"354US234",30050
"354US278",60030
"354US284",30010
"354US298",30060
"354US351",120020
"354US363",30120
"354US390",80100
"354US393",90190
"354US394",10570
"354US416",40060
"354US436",30190
"354US449",10370
"354US457",80110
"354US476",30200
"354US515",90370
"354US521",20370
"354US517",80040
"354US524",20240
"355US18",80040
"355US20",80040
"355US24",80010
"355US28",10200
"355US1",10160
"355US41",90120
"355US62",80040
"355US66",10080
"355US83",80240
"355US96",10050
"355US107",10050
"355US115",30060
"355US131",100020
"355US141",80240
"355US155",10120
"355US171",30030
"355US184",10170
"355US220",40060
"355US225",40020
"355US233",10330
"355US253",80060
"355US273",20110
